question_id,version,problem_type,question_text,correct_choice_id,correct_choice_name,near_miss_choice_1_id,near_miss_choice_1_name,near_miss_choice_1_reason,near_miss_choice_2_id,near_miss_choice_2_name,near_miss_choice_2_reason,wrong_choice_id,wrong_choice_name,wrong_reason,validation_status,validation_notes
Q001,v1.0_final,F01,胸と背中を強めに鍛えた後です。筋肉を増やすため、まず主なたんぱく質を選びたい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,protein_whey_concentrate,ホエイプロテイン標準,一部は合うが、主条件が足りない。,food_boiled_egg,ゆで卵,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q002,v1.0_final,F01,腕トレ後で、食事まで少し時間があります。たんぱく質を優先したい。 4つの中で最も合うものはどれですか。,protein_dns_whey100,ホエイプロテイン高たんぱく標準,food_banana,バナナ,一部は合うが、主条件が足りない。,protein_weight_up,ウェイトアップ標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q003,v1.0_final,F01,脚トレ後です。脂質を増やしすぎず、たんぱく質をしっかり取りたい。 4つの中で最も合うものはどれですか。,food_chicken_breast,鶏むね肉,food_onigiri_salt,塩おにぎり,一部は合うが、主条件が足りない。,food_fried_chicken,唐揚げ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q004,v1.0_final,F01,全身トレ後です。乳製品は問題ありません。すぐ飲めるたんぱく質を選びたい。 4つの中で最も合うものはどれですか。,protein_dns_whey100,ホエイプロテイン高たんぱく標準,food_yogurt_plain,プレーンヨーグルト,一部は合うが、主条件が足りない。,protein_milk_drink15,ミルクプロテインドリンク15g標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q005,v1.0_final,F01,筋力アップを狙っています。普通の食事で主なたんぱく質を選びたい。 4つの中で最も合うものはどれですか。,food_pork_tenderloin,豚ヒレ,food_rice_regular,ごはん普通盛り,一部は合うが、主条件が足りない。,food_tuna_egg_sand,ツナ卵サンド,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_vegetable_salad,野菜サラダ,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q006,v1.0_final,F01,夜ではない時間の筋トレ後です。魚でもよいので主菜を選びたい。 4つの中で最も合うものはどれですか。,food_salmon_grilled,焼き鮭,food_banana,バナナ,一部は合うが、主条件が足りない。,food_miso_soup,味噌汁,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q007,v1.0_final,F01,胸と背中を強めに鍛えた後です。筋肉を増やすため、まず主なたんぱく質を選びたい。 4つの中で最も合うものはどれですか。,food_chicken_rice,鶏むね肉＋ごはん,protein_whey_concentrate,ホエイプロテイン標準,一部は合うが、主条件が足りない。,food_boiled_egg,ゆで卵,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_black_coffee,ブラックコーヒー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q008,v1.0_final,F01,腕トレ後で、食事まで少し時間があります。たんぱく質を優先したい。 4つの中で最も合うものはどれですか。,protein_dns_whey100,ホエイプロテイン高たんぱく標準,food_banana,バナナ,一部は合うが、主条件が足りない。,protein_weight_up,ウェイトアップ標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_water,水,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q009,v1.0_final,F01,脚トレ後です。脂質を増やしすぎず、たんぱく質をしっかり取りたい。 4つの中で最も合うものはどれですか。,food_chicken_breast,鶏むね肉,food_onigiri_salt,塩おにぎり,一部は合うが、主条件が足りない。,food_fried_chicken,唐揚げ,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_zero_jelly,ノンカロリーゼリー,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
Q010,v1.0_final,F01,全身トレ後です。乳製品は問題ありません。すぐ飲めるたんぱく質を選びたい。 4つの中で最も合うものはどれですか。,protein_dns_whey100,ホエイプロテイン高たんぱく標準,food_yogurt_plain,プレーンヨーグルト,一部は合うが、主条件が足りない。,protein_milk_drink15,ミルクプロテインドリンク15g標準,目的には近いが、量・脂質・糖質・時間帯のどれかがずれる。,food_energy_drink,エナジードリンク,今回の目的と明確に合わない。,passed,4択数、正解1、惜しい2、不正解1、正解根拠、問題タイプ主条件を確認済み。
